,명칭,주소,lat,lon,개요,문의 및 안내,주차 시설,영업시간,쉬는날,대표메뉴,취급메뉴,상세정보
311,대춘해장국,"제주특별자치도 제주시 연북로 398
			",33.4804047192,126.5238707738,30년 전통을 가지고 있는 곳이다. 제주특별자치도 제주시에 있는 한식전문점이다. 대표메뉴는 해장국이다.,064-757-7456,,06:00-16:00,매주 월요일,해장국,해장국 / 내장탕,
312,섭지코지로,"제주특별자치도 서귀포시 성산읍 섭지코지로 43
			",33.4385046231,126.921348356,서귀포시 성산읍 신양리 해안에 돌출된 섭지코지는 한적함과 낭만적인 멋이 풍기니 소풍 나온 기분으로 산책하기 좋은 관광지이다. 제주 섭지코지로 43에 위치한 섭지코지로는 딱새우 맛집으로 유명하다. 아담한 공간이라 자리는 협소하나 별채가 있어 피크타임만 피한다면 웨이팅 없이 식사가 가능하고 대표 메뉴는 딱새우회와 고등어회 세트 메뉴이며 싱싱한 회에 노릇한 옥돔구이와 감칠맛 나는 새우머리 라면까지 포함되어 있어 푸짐한 한 상이 나온다. 모든 메뉴는 포장이 가능하고 근처에 코지 펍을 함께 운영 중이다. 아울러 섭지코지 인근의 제주민속촌과 우도 등도 함께 둘러보면 좋다.,064-782-3450,주차가능,12:00 - 23:00<br>(주문마감 점심 14:30 / 저녁 21:30),,"흑돼지 제육정식, 돔베고기 정식, 딱새우회, 고등어회","회덮밥, 고등어구이, 딱새우찜, 모듬해물전골, 모듬회","부대시설:단체석, 아기의자, 주차,  무선 인터넷
화장실:가능 (남녀구분)
"
313,봉순이네흑돼지,"제주특별자치도 서귀포시 대정읍 영어도시로 64
			",33.2778093738,126.2795632114,"제주 서귀포에 위치한 봉순이네 흑돼지는 개방된 넓은 정원의 야외 테이블들 옆으로 싱그러운 귤나무들이 있어 초록 가득한 분위기에서 식사를 즐길 수 있는 것이 특징이다. 맛은 물론 친절한 서비스에 분위기까지 삼박자 모두 갖춘 봉순이네 흑돼지구이는 실제 맛본 후  고개가 절로 끄덕여지는 맛 덕분에 재방문하는 손님들이 많으며 찌개 맛도 훌륭해 함께 사랑받는 메뉴이다. 나영석 PD의 단골 음식점으로 유명해 대기시간이 긴 편이니 예약하고 방문하는 것을 추천한다. 주변 관광지로는 제주 곶자왈과 카멜리아힐, 오설록티뮤지엄 등이 있다.",064-792-2030,있음 / 주차요금 무료,12:00 ~ 22:30,없음,흑돼지모듬한판,"돼지고기구이, 김치찌개, 된장찌개, 냉면, 주류","부대시설:단체석, 아기의자, 무선 인터넷 

화장실:있음 (남녀구분)

"
314,솔정가든,"제주특별자치도 제주시 오라로12길 9
			",33.4939725199,126.5149462415,한국식 보양 음식 먹으러 가기 좋은 곳이다. 대표메뉴는 유황오리 한방백숙이다. 제주특별자치도 제주시에 있는 한식 전문점이다.,064-751-2100,가능,11:00-21:00(라스트오더19:30),"신정연휴 1일, 추석연휴 3일, 구정연휴 3일",유황오리한방백숙,유황오리한방백숙 / 토종닭한방백숙,"화장실:남녀구분


"
315,참맛나흑돼지,"제주특별자치도 제주시 신대로8길 29
			",33.49186408,126.4935592595,푸짐한 양을 자랑하는 흑돼지 전문점이다. 제주특별자치도 제주시에 있는 한식전문점이다. 대표메뉴는 흑돼지오겹살이다.,064-743-8319,가능,11:00-23:00(라스트오더 22:00),,흑돼지 오겹살,흑돼지 오겹살 / 목살,
316,돈보따리,"제주특별자치도 제주시 제원길 6
			",33.4894948283,126.4891958039,특제소스로 양념한 제주도 흑돼지를 먹을 수 있는 곳이다. 대표메뉴는 흑돼지오겹살이다. 제주특별자치도 제주시에 있는 한식전문점이다.,064-742-2466,,16:00-03:00,,흑돼지 오겹살,흑돼지 오겹살 / 갈매기살,
317,부두식당 / (주)부두식당,"제주특별자치도 서귀포시 대정읍 하모항구로 62
			",33.2188543277,126.2510586602,"식당 대표가 직접 운영하는 배에서 잡아 올린 싱싱한 생선회와 해산물들을 푸짐하게 먹을 수 있는 모슬포항의 대표 향토 음식 전문점이다. 45년 전통의 대물림 맛집으로 현지에서도 유명하고, 각종 전파를 타 유명인들에게도 인기가 있다. 주메뉴는 대방어 회이며 고등어, 다금바리, 줄돔, 참돔, 잡어 등을 회로 즐길 수 있다. 그 외에도 여러 스페셜과 세트 메뉴는 회뿐만 아니라 튀김, 구이, 탕 등 바다를 느낄 수 있는 다양한 맛을 즐길 수 있어 제주를 맛보고 싶은 관광객에게 손꼽히는 식당 중 한 곳이다. 점심에는 미역국, 갈칫국, 회덮밥 등의 단품 메뉴도 맛볼 수 있어 가벼운 식사를 즐기고 싶은 사람들이 찾기에도 좋다.",064-794-1223,주차가능,11:00 ~ 21:30,목요일 (동절기 휴무 없음 ),특대방어회,"제철모둠회, 갈치조림","부대시설:단체석, 주차장, 화장실, 무선 인터넷 

"
318,검은여닭(검은여쉼터),"제주특별자치도 서귀포시 검은여로 4
			",33.2437595709,126.5821627247,"※ 영업시간 11:00 ~ 22:00 (전화문의)

제주특별자치도 서귀포시 토평동 검은여 해안 인근에 위치한 검은여닭(검은여쉼터)은 토종 닭도가니와 닭백숙 전문점이다. 올레길 코스에 위치하고 있어 간단하게 끼니를 때울 수 있는 다양한 메뉴를 판매하고 있다. 서귀포 칼호텔, 파라다이스 호텔이 인근에 위치해 있고, 바로 앞이 검은여 해안이기 때문에 관광객들이 즐겨 찾고 있다.",064-733-3030,주차 가능,11:00 ~ 22:00 (전화문의),연중무휴(전화문의),닭도가니,닭도가니 / 백숙 / 김치찌개 / 고등어구이 / 옥돔구이 / 해물파전 외,"화장실:업소 내 위치 (남녀공용)
"
319,바당회국수,"제주특별자치도 제주시 서해안로 614
			",33.5169642249,126.5027606683,"[제주시 용담삼동에 있는 회국수 전문점 바당회국수]
바당회국수는 제주 서해안로에 위치한 회국수 전문점이다. 활어회국수, 성게국수, 오분작국수, 해물국수 등 다양한 메뉴의 국수와 해산물, 식사 등을 제공한다.",064-711-6754,주차 가능,08:00 ~ 22:00,연중무휴,활어회 / 생선조림,활어회 / 생선조림 / 해산물모듬 / 성게국수 / 활어회국수 / 갈치조림 / 회덮밥 외,"부대시설:와이파이, 발렛파킹
"
320,우도해녀식당,"제주특별자치도 제주시 우도면 우도해안길 440
			",33.5144300129,126.9488775513,우도해녀가 잡은 싱싱한 해산물을 이용해 요리하는 곳이다. 대표메뉴는 보말칼국수다. 제주특별자치도 제주시에 있는 한식전문점이다.,010-9090-3509,가능,08:00-19:00,,보말칼국수,보말칼국수 / 성게비빔밥,
321,우도쉬림프,"제주특별자치도 제주시 우도면 우도해안길 1112
			",33.4977571836,126.9690484111,신선한 해산물이 들어간 요리를 먹을 수 있는 곳이다. 대표메뉴는 해물라면이다. 제주특별자치도 제주시에 있는 한식전문점이다.,010-7734-5123,,10:00-18:00,,해물라면,해물라면 / 감자튀김,
322,하우투플레이,"제주특별자치도 제주시 일주서로 6935
			",33.4790860945,126.3913323268,"""제주에서 쉬어가는 가장 좋은방법""
평화로운 제주의 바다와 선선한 바람, 오랜 시간 이곳을 지켜온 냉동 창고의 골격을 그대로 살려 새롭게 탄생한 수제버거 집이다.
포근한 흙과 울창한 야자나무 잎이 반겨주는 이곳은 있는 그대로의 제주를 즐겨 볼 수 있다.",064-747-7346,주차가능,11:00 -20:00 / 주문마감시간 19:00,매주 화요일,치킨버거,"치킨버거, 치즈 버거, 클래식 버거, 포테이토, 치킨&포테이토, 상하목장 밀크셰이크, 상하목장 아이스크림, 아메리카노, 카페라테, 코카콜라 등",
323,오드랑베이커리,"제주특별자치도 제주시 조함해안로 552-3
			",33.5421641344,126.6715954192,오드랑베이커리는 커피와 빵을 판매하는 베이커리 카페이다. 다양한 빵을 판매하는데 그 중 마농바게트가 유명하다.,064-784-5404,,매일 07:00~22:00,,마농바게트,마농바게트 / 카페모카 / 먹물치아바타 외,
324,그시절그짬뽕,"제주특별자치도 제주시 한림북동길 7
			",33.4156133393,126.2642809145,"한림항 한림중앙상가 1층에 위치한 짬뽕 맛집이다. 노부부가 운영하는 가성비 맛집이며, 정겨운 분위기로 현지인들의 사랑을 받는 식당아다. 특히 얼큰한 고추짬뽕과 마파두부밥, 잡채밥이 특히 인기있는 메뉴이다.",064-796-8188,,11:00 ~ 15:00 (라스트오더 14:45),매주 화요일,고추짬뽕,고추짬뽕 / 간짬뽕 / 삼선짬뽕 / 짜장면 외,"화장실:있음
"
325,여기왕언제먹을래,제주특별자치도 서귀포시 대정읍 하모리855-3 2층,33.2228289427,126.2545082726,"흑돼지 냉동 삼겹살이 맛있는 식당, 백김치와 미나리를 곁들여 먹을 수 있다. 특히 급냉을 시켜 일반 냉동 삼겹살과 달리 맛이 살짝 덜 익혀먹는 것이 포인트이다.",064-794-3232,,17:00~24:00,매주 월요일,"흑돼지 냉동삼겹살, 김치말이국수","흑돼지 냉동삼겹살, 냉동우삼겹, 김치말이국수, 김치찌개, 참치찌개",
326,이스방한상,"제주특별자치도 제주시 흥운길 87
			",33.5157534201,126.513587532,제주 용두암 근처에 있는 참돔코스요리집이다. 작은상 시그니처 한상 코스로 이루어져 있고 4명이 먹기에 알맞는 양이다. 음식 하나하나 맛있고 간도 적당하다. 부모님이나 어른들을 모시고 가기도 좋은 곳이다.,010-9163-1060,,12:00 ~ 22:00,매주 일요일,시그니쳐 / 한상,시그니쳐 / 한상 / 작은상 외,
327,국수의 전설,제주특별자치도 서귀포시 효돈로 108(신효동),33.2635217278,126.6103765028,"[제주 서귀포시 신효동에 있는 국수 전문 음식점 국수의 전설]<br />
국수의 전설은 다양한 국수를 제공하는 국수 전문점이다. 제주도의 유명한 국수인 고기국수를 비롯하여 비빔국수, 보말 칼국수, 전설 칼국수, 들깨 칼국수, 돔베고기 등 다양한 메뉴를 제공한다. 국수의 전설에서 제공하는 국수는 인공 조미료를 넣지 않고 국산 토판염으로 간을 맞추어 제공한다. <br>",064-733-7101,주차 가능,09:30 ~ 15:30,연중무휴,고기국수,고기국수 / 멸치국수 / 보말칼국수 외,
328,라지마할,"제주특별자치도 제주시 신광로 43
			",33.4882477612,126.4902735165,라지마할은 제주도 신제주 제원사거리에 위치하고 있는 인도 음식점이다. 라지마할의 의미는 옛날 인도 우리사(ORISSA)주의 인도수도이자 궁전의 이름이다. 라지마할의 대표적인 음식은 전통 인도음식인 카레와 난 그리고 탄두리치킨이 가장 인기가 좋으며 현지 인도 주방장이 만든 전통 인도식 다양한 종류의 카레를 맛볼 수 있고 전혀 거부감이 없는 양고기를 맛볼 수 있는 곳이다. 인도 분위기가 물씬 나는 이곳은 입소문으로 언제가도 사람들의 발길이 끊이지 않는 인기 있는 음식점이다.,064-749-4924,주차 가능(인근 공영주차장),11:30~23:30,연중무휴,커리,커리 / 탄두리 치킨 / 난 외,"화장실:남녀개별, 업소내 위치
"
329,바다의집,"제주특별자치도 서귀포시 성산읍 해맞이해안로 2758
			",33.4694622809,126.919270045,"바다의집은 성산읍 오조리 해안도로가에 있으며, 바다 경치가 좋다. 바다의집은 성게비빔밥과 보말성게국 등 제주 고유의 맛이 담긴 메뉴를 제공한다. <br>",064-784-8882,주차 가능,09:00 ~ 17:00 (라스트오더 16:30),매주 수요일,성게비빔밥,성게비빔밥 / 갈치조림 / 갈치구이 / 고등어구이 / 전복해물뚝배기 / 전복회덮밥 외,
330,모루쿠다,제주특별자치도 서귀포시 태평로431번길 321층,33.2483282576,126.5661834509,"모루쿠다는 신선한 제주산 재료로 특색있는 음식을 제공하는 식당이다. 흑돼지 보쌈 및 해산물, 채소 찜이 제공되는 육합과 전복장 덮밥 등의 메뉴가 있다. 식사와 함께 술을 즐길 수 있어서 가족 및 연인들의 모임 장소로 좋다.",064-733-1477,있음,매일 11:10~22:00,,모루쿠다 육합,모루쿠다 육합 / 해산물 라멘 / 전복 돌문어장 비빔덮밥 외,
331,원앤온리,"제주특별자치도 서귀포시 산방로 141 원앤온리
			",33.2392531422,126.3191995157,'전 세계 단 한 곳 뿐인 뷰와 분위기를 품다.'<br>제주에서 가장 길고 고요한 황우치해변을 홀로 품고 명승 산방산을 지붕 삼은 유일한 곳이다.<br>명실상부 독보적인 제주 여행 필수코스로 자리매김한 원앤온리에서 가장 특별한 여행을 완성해보자.,050-1323-6186,,09:00-20:00,연중무휴,"수제리코타치즈셀러드, 원앤온리 브런치",,
332,에밀리파크,"제주특별자치도 제주시 조천읍 조천우회로 104
			",33.5250207705,126.6206169072,"에밀리파크는 초콜릿 만들기부터 족욕체험까지 한 곳에서 여러 즐거움을 얻을 수 있는 멀티카페이다. 이곳에서 만들 수 있는 초콜릿 종류도 다양하다. 초콜릿을 여러가지 모양의 몰드에 굳히거나 크런키와 초콜릿이 범벅된 초코스틱 등 원하는대로 골라서 체험할 수 있다.
카페에 꾸며진 포토존에서 사진을 찍거나 족욕을 하며 쉬는동안 완성된 초콜릿을 받을 수 있다. 초콜릿 체험 외에도 쿠키 만들기(전화 예약 필수), 감귤 따기 체험(겨울 시즌)도 운영한다.
(출처: 제주관광공사)",064-783-0518,,10:00 ~ 16:30,"매주 화, 수요일",12구 초콜릿,"12구 초콜릿, 쿠키 외",
333,새빌,"제주특별자치도 제주시 애월읍 평화로 1529
			",33.3615847697,126.3636734821,"기존의 리조트를 리모델링한, 유럽의 중세시대 성같은 분위기의 베이커리 카페이다.
새별오름이 바로 눈앞에서 펼쳐지는 제주에서 가장 핫한 카페이며, 네이버에서 대한민국 6대 이색 카페에 선정될 정도로 제주를 대표하는 애월 맛집이다.
최고의 파티쉐가 직접 만드는 대표메뉴인 크로아상은 프랑스 현지인들도 방문해서 극찬한 맛이다.
웅장하고 고풍스러운 분위기를 마음껏 느끼실수 있는 최고의 카페이다.",064-794-0073,,09:00 ~ 19:00,연중무휴,크로와상,크로와상 / 에스프레소 / 콜드브루 / 사이공라떼 외,"화장실:남/녀 화장실 구분
"
334,숲섬이라면,제주특별자치도 서귀포시 보목로64번길 801층,33.237235513,126.5961866567,"'숲섬이라면'은 서귀포 바다 앞에 위치하여 오션뷰를 만끽하며 식사할 수 있는 곳이다. 바다 멀리 섶섬도 한눈에 보인다. 좌석은 실내와 실외 모두 준비되어 있으며, 신선한 해산물과 통오징어가 들어간 해물라면, 오징어김밥, 새우김밥 등이 있다.",0507-1383-0726,,10:00 ~ 16:00 (라스트오더 15:45),,"해물라면, 전복오징어김밥","해물라면, 전복오징어김밥, 전복새우김밥, 새우오징어튀김",
335,스시 오타루,"제주특별자치도 제주시  인다2길 (30)
			",33.4752112622,126.5497464207,"제주 시내에 위치한 오마카세 전문점 스시 오타루이다. 재철 식재료를 이용하여 매일 신선한 스시, 숙성회를 맛볼 수 있다. 신선한 재료와 끊임없이 나오는 음식들이 가격대비 가성비가 넘친다.",064-752-5271,,11:00 ~ 21:30,연중무휴,,,
336,더클리프,제주특별자치도 서귀포시 중문관광로 154-17(색달동),33.2450679043,126.4156104662,"중문해수욕장에 위치한 더클리프는 브런치와 수제 피자, 수제 버거등을 판매하는 다이너와 썬셋라운지, 프라이빗 공간을 포함한 복합 오뮤즈먼트 공간으로, 중문 해변과 썬셋을 감상 하실 수 있는 환상적인 뷰를 가지고 제주 최고의 잇플레이스가 되고자 한다. 더 클리프에서는 제주를 기반으로 다양하고 재미있는 파티와 문화공연, 페스티벌을 기획하고 있으며, 하우스와 테크노에 흠뻑 젖을 수 있는 디제이 파티도 즐길 수 있다. 새롭고 유니크한 장소, 세련된 음악을 원하시는 분들, 더 클리프에서 멋진 오션뷰와 썬셋을 감상해 보길 바란다.",064-738-8866,,10:00 ~ 24:00 (주방오더시간 11:30 ~ 22:00),,흑돼지 멜젓 파스타,흑돼지 멜젓 파스타 / 더클리프 피자 / 클럽버거 외,
337,오라디오라,"제주특별자치도 서귀포시 사계로114번길 54-102
			",33.2350839854,126.3081783424,"빨간 벽돌로 지어진 웅장한 건물이 눈에 띈다. 오라디오라는 실내에 베이킹 공간이 크게 자리잡고 있어 디저트를 직접 만드는 곳이란걸 단번에 알 수 있다. 다양한 디저트 외에 브런치 메뉴도 있으며, 주차장도 넓어 이용하기 편리하다.",064-794-0340,,09:30 ~ 21:00 (일요일 09:30 ~ 18:00),,다양한 베이커리,아메리카노 / 제주말차라떼 / 수제 자몽티 / 트러플 리코타 브리오슈 / 소금빵 / 무화과스콘 / 한라산스콘 등,
338,독고집,"제주특별자치도 서귀포시 동류암로 43-1
			",33.4486895206,126.9158763733,"고기의 품질이 뛰어나 다른 기교 없이도 맛이 좋은 추억의 연탄구이 흑돼지 특수부위 전문점이다. 흑돼지 통항정살, 흑돼지 통가브리살, 흑돼지 오겹살 등의 메뉴와 사이드로 흑돼지 김치찌개, 차돌박이 된장찌개 등을 맛볼 수 있다.",064-784-8292,,13:30 ~ 23:59,"매월 둘째, 넷째주 수요일",흑돼지,통항정살 / 통가브리살 / 흑오겹살 / 흑목살 등,
339,명진전복,"제주특별자치도 제주시 구좌읍 해맞이해안로 1282
			",33.5324764068,126.8494496455,"제주도에서 유명한 전복요리를 판매하는 곳이다. 대표메뉴는 전복돌솥밥이다. 가게 앞이 바다라서 창가쪽에 앉으면 바다뷰를 즐길 수 있다,
전복돌솥밥을 시키면 고등어구이와 낙지젓갈이 나오며 돌솥에 만든 누룽지밥이랑 같이 먹으면 끊임없이 들어간다. 여러 명이 가면 전복 버터구이도 같이 시켜먹는 것을 추천한다.",064-782-9944,,09:30 ~ 21:30 (라스트 오더 20:30),화요일,전복돌솥밥,전복돌솥밥 / 전복죽 외,
340,국수바다 본점,제주특별자치도 서귀포시 일주서로 982(색달동),33.2585801496,126.405966557,"국수바다 본점은 서귀포 중문에 가면 꼭 한번 들러야 할 맛집으로 유명하다. 고기국수는 돼지뼈로 우린 뽀얀 육수를 넣고 수육을 올려 먹는 제주도의 향토 음식으로, 국물에서 제주의 맛을 고스란히 느낄 수 있다. 담백하면서 깔끔하여 남녀노소 누구나 사랑할 수밖에 없는 맛이다. 제주 여행에서 빼놓을 수 없는 것이 독특한 지역색을 담고 있는 향토음식인데, 제주만의 매력적인 향토음식을 마음껏 맛보고 싶다면 국수바다에서 고기국수 한 그릇은 필수다. 몸국과 성게국밥은 포장도 가능하며 넓은 주차장은 물론 100명 정도 수용 가능한 대형음식점으로 단체 여행객도 편안한 식사를 즐길 수 있다.",064-739-9255,주차가능,08:00 - 21:00,,"A세트, B세트, 고기국수 9,000원","회국수, 비빔국수, 밀면, 수육, 왕만두, 몸국","부대시설:단체석, 주차장, 화장실, 무선 인터넷
화장실:가능 (남녀 구분)
"
341,쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14(서귀동),33.2466256167,126.5629226603,"모둠회 맛집으로 소문난 쌍둥이횟집은 서귀포 매일 시장의 작은 횟집 쌍둥이수산에서 시작해 현재에 이르렀다. 푸짐하고 다양한 밑반찬과 싱싱한 회로 현지인은 물론이고 많은 관광객에게 사랑받고 있다. 밑반찬에는 어린이 손님도 좋아하는 생선구이와 돈가스가 있어서 가족 단위 손님도 많은 편이다. 스페셜 세트 메뉴는 인원 수에 따라 맛볼 수 있는 메뉴 구성으로 되어 있는데, 가격 대비 풍성한 메뉴로 구성되어 제주 해산물을 코스처럼 다양하게 즐기고 싶다면 맛보는 것을 추천한다.",064-762-0478,있음,11:00 ~ 22:30 ,연중무휴,모듬회스페셜,"모듬회스페셜 / 점심특선(회, 초밥, 지리탕중에 선택-2인기준)","화장실:있음 (남녀 구분)

"
342,골막식당,"제주특별자치도 제주시 천수로 12
			",33.5024497344,126.5384467843,제주 동부 경찰서 인근에 있는 한식당이다. 제주식 고기 국수를 전문으로 한다. 돼지 사골과 멸치로 낸 진한 육수에 우동면에 가까운 통통한 국수를 만 후 돼지수육을 올려내는 고기 국수는 취향에 따라 고춧가루를 넣어 먹으면 얼큰한 맛을 살려서 먹을 수 있다.,064-753-6949,주차 가능,06:30 ~18:00 (마지막주문 17:40),매주 일요일,골막국수,골막국수 / 수육 / 고기국수 외,
343,가시식당,"제주특별자치도 서귀포시 표선면 가시로565번길 22
			",33.3531116357,126.7714466301,가시식당은 가시보건진료소 인근에 자리 잡은 40년 이상의 전통을 자랑하는 순댓국 전문점이다. 실내는 편안한 가정집 분위기의 입식 홀 구조이다. 돼지 잡뼈를 넣고 우린 육수에 순대와 내장을 말아 뚝배기에 담아내는 순댓국과 철판 위에 은박지를 깔고 볶아먹는 돼지고기 두루치기가 인기메뉴이다.,064-787-1035,주차 가능(인근 가시리사무소 주차장),08:30 ~ 20:00,"둘째, 넷째주 일요일, 명절당일 및 다음날",순댓국,순댓국 / 수육 / 두루치기 / 순대국밥 / 몰망국(몸국) / 고기국수 / 삼겹살 외,
344,삼다도횟집,"제주특별자치도 제주시 서해안로 572
			",33.5189945013,126.4993275871,삼다도횟집은 제주공항 부근 용두암 해안도로에 자리하고 있으며 자연산 활어회를 제공하는 음식점이다. 타지역 뿐만 아니라 제주지방 손님도 이용하며 간장게장과 전복 내장 볶음밥이 대표적인 메뉴이다.,064-711-7085,주차 가능,10:00 ~ 22:30,매주 월요일,모듬회,모듬회 / 해산물모듬 / 생선초밥 / 회덮밥 / 매운탕 외,
345,우리집아점,"제주특별자치도 제주시 한림로 242
			",33.3878409257,126.2332453451,금능해변 앞에 위치한 작고 따뜻한 분위기의 식당이다. 제주에 오면 꼭 맛봐야 할 딱새우를 이용해 만든 간장새우정식이 인기 메뉴다.,010-6705-8006,,11:00 ~ 16:00,토요일,간장새우정식,간장새우정식 / 매운 문어덮밥 / 꿀돼지덮밥,
346,바다밥상,"제주특별자치도 서귀포시 천지연로 16
			",33.2418928327,126.5646559502,"바다밥상은 제주도만의 특색을 느낄 수 있는 맛집이다. 지역주민들 사이에서도 갈치조림 맛집으로 유명하며, 갈치조림 뿐만 아니라 갈치구이, 고등어구이, 우럭매운탕 등 생선요리가 일품이다. 제철에 나는 식재료로 만든 밑반찬은 더욱 푸짐하고 건강한 밥상을 만든다.",064-732-3385,,08:30 - 20:00(14:00 - 17:00 브레이크타임),"매달 2, 4번째 일요일 정기 휴무",갈치조림,갈치조림 / 갈치구이 / 고등어구이 / 우럭매운탕 등,
347,고서방 짬뽕,"제주특별자치도 제주시  인다5길 (11-5)
			",33.4759722639,126.5481687628,고서방 짬뽕은 제주 현지의 신선한 해산물을 재료로 한 짬뽕을 판매하는 중식당이다. 해산물이 가득 담긴 다양한 종류의 짬뽕을 기호에 따라 선택하여 맛볼 수 있다.,064-722-0402,있음 / 인근 무료공영주차장도 이용 가능,11:00~22:00 (재료 소진 시 마감),매주 일요일 휴무,고추짬뽕,고추짬뽕 / 우삼겹짬뽕 / 흑돼지 등심 탕수육 외,
348,더스푼,"제주특별자치도 제주시 구남동1길 45
			",33.4934313312,126.5411634193,"제주 아라이동 거리에 위치한 이탈리안 레스토랑 '더스푼'<br>제주도가 고향인 셰프님이 제주의 제철 식재료를 접목한 정통 이탈리안 메뉴를 선보인다. 제주에서 나는 해산물, 고기, 채소 등 퀄리티 좋은 신선한 재료만을 이용하여 고급스러운 맛을 자아낸다. 성게와 어란이 올라간 성게어란파스타가 이곳의 대표메뉴. 음식은 코스로도 즐길 수 있고, 단품으로도 즐길 수 있으며 와인 콜키지도 가능하다. 예약은 캐치테이블을 통해서 받고 있다.",064-725-1324,,12:00 ~ 22:00 (브레이크타임 14:30~18:00),"월요일, 화요일",성게어란파스타,성게어란파스타 / 명란타르트와 대파 / 구운 돌문어와 당근퓨레 / 시칠리아 아란치니 등,
349,식당 마요네즈,"제주특별자치도 제주시 다랑곶3길 18
			",33.4889419444,126.4786745086,식당 마요네즈는 노형동에 위치한 돈까스 맛집이다. 친절한 사장님과 종업원이 맞이 해준다. 오픈키친으로 신뢰감을 올려준다.<br>등심 돈가스는 고소하고 담백하다. 안심 또한 부들부들한 고기의 식감이 있다.,"<a href=""https://www.instagram.com/yangmayoh/"" target=""_blank"" title=""새창 : 식당 마요네즈"">www.instagram.com/yangmayoh</a>",,11:00 - 22:00(브레이크 타임 15:00 - 17:00),매주 일요일,"마요네즈 필라프, 등심돈가스, 안심돈가스",,
350,둠비정원,제주특별자치도 서귀포시 신중로13번길 20(강정동),33.2571735807,126.5078799725,"제주 서귀포시 강정동에 있는 두부요리 전문점 둠비정원은 국산 콩으로 9시간 이상 불려 (겨울에는 12시간) 두부를 제조한다. 당일 생산 및 당일 판매 원칙으로 물량 소진 시 영업이 종료된다. 비지를 짤 때의 세기 조절을 해 비지 전으로 콩의 식감이 살아있게 중복으로 조리하는 특징이다. 주변 관광지로는 천지연, 정방폭포, 외돌개가 있다.",064-739-7787,,11:00 ~ 15:00,매주 일요일 휴무,순두부,순두부 / 비지탕 / 해물순두부 / 김치순두부 외,"화장실:있음
"
351,묘한식당,"제주특별자치도 제주시 녹차분재로 601
			",33.3226513668,126.2621387286,제주 한경면에 위치한 식당이다. 대표메뉴는 파스타와 돈까스다.,064-772-4466,,11:30 ~ 20:00 (브레이크 타임 15:00 ~ 17:30),매주 수요일,뽀모도로 파스타 / 흑돼지 돔베카츠,뽀모도로 파스타 / 흑돼지 돔베카츠 / 크림빠네파스타 / 칠리딱새우덮밥 외,
352,면사무소,"제주특별자치도 제주시 애월해안로 494
			",33.4784272894,126.3569158912,강원도 속초가 고향인 주인장이 직접 매일 반죽하는 생면으로 강원도 향토 음식에 제주를 담아 내어주는 칼국수 맛집이다. 애월 해안도로에 위치하여 전망도 좋다.,0507-1332-1402,,10:00 ~ 17:00,매주 수요일,장칼국수 / 연두칼국수 / 가리비칼국수,장칼국수 / 연두칼국수 / 가리비칼국수 / 흑돼지부추전 외,
353,달페이지,"제주특별자치도 서귀포시 색달로64번길 51
			",33.2597856977,126.4139408386,달페이지는 제주도에 있는 예쁘고 감성적인 브런치 맛집이다. 가게 인테리어랑 브런치가 눈길을 사로잡는다. 브런치는 예쁘기만 한게 아니라 아주 맛있다는 후기가 많다. 데이트 및 가족 여행으로도 많이 들리는 곳이다.,010-3541-8896,,09:00 ~ 15:00,매주 수요일,달브런치,달브런치 / 달샌드위치 토마토스튜+바케트 외,
354,청춘부부,"제주특별자치도 서귀포시 추사로38번길 181
			",33.2659551202,126.2791190692,감귤 창고를 리모델링하여 만든 공간이다. 카페 안에서 모든 디저트를 직접 만들고 원두를 로스팅하여 사용한다. 감귤따기 체험 및 애견동반도 가능하다.,,,08:30 ~ 18:00,수요일,"음료, 디저트",아메리카노 / 수제바닐라빈라떼 / 에그타르트 / 제주귤치즈케이크 등,
355,백록집,"제주특별자치도 제주시 조천읍 함덕로 (24)
			",33.5418391874,126.6726564455,"백록집은 제주노포로 푸짐하고 맛있는 음식들을 식사로도, 반주로도 즐길 수 있는 곳이다. 함덕에서 맛있는 고등어회와 갈치튀김 한치전 한치떡볶이 육전, 맛없는 게 없는 그야말로 맛집이다. 전 메뉴가 특색있고 맛있어서 여러명가서 이것저것 다 시켜먹고 싶은 집이다. 레트로 감성과 함께 야외석의 개방감도 함께 느낄 수 있다. 거기에 사장님의 센스있는 음악 선곡도 좋은 분위기에 한 몫하는 만족도 최상의 맛집이다.",0507-1381-6021,,16:00 ~ 23:00,연중무휴,고등어회 / 갈치튀김 / 한치전,고등어회 / 갈치튀김 / 한치전 / 한치떡볶이 / 딱새우회 외,
356,착한제주고등어,"제주특별자치도 제주시  신산로2길 (25)
			",33.5122179512,126.5293084674,1인분 주문도 가능하며 제주산 고등어와 갈치를 저렴한 가격에 즐길 수 있다. 밑반찬도 직접 만드는 착한 맛집이다.,064-725-5751,,10:00 ~ 20:00 (브레이크14:30 ~ 16:00),매주 월요일,고등어구이 / 고등어조림 / 고등어탕,고등어구이 / 고등어조림 / 고등어탕 / 갈치구이 외,
