,명칭,주소,lat,lon,개요,문의 및 안내,쉬는날,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,상세정보
10,비양도선착장,"제주특별자치도 제주시 한림읍 한림해안로 192
			",33.4190907055,126.2625726517,"제주의 또 다른 섬으로 불리는 비양도는 날아온 섬이라는 뜻을 가지고 있다. 우리나라에서 유일하게 탄생에 대한 역사적 문헌이 남아있다. 천년의 섬이라 불리는 비양도는 아름다운 자연경관과 무한한 관광자원을 가지고 있다. 비양도를 방문하기 위해서는 한림항에서 운행하는 천년호와 비양도호를 타야 한다. 2대의 배편이 오전 9시부터 오후 16시까지 교대 운행 중이다. 한림항에서 배를 타고 15분 정도 타고 오면 비양도 선착장에 도착한다. 비양도에는 천연기념물로 지정된 호니토(천연기념물 제439호), 펄랑못 습지, 비양나무 자생지(제주도 기념물 제48호), 비양도 등대 등 다양한 관광명소를 둘러볼 수 있다.",064-796-3515,없음,"한림-비양도 출발/ 매일 08:30 - 17:30 (09시20분, 11시20분, 13시20분, 15시20분)<br>비양도-한림 출발/ 매일 09:00 - 18:00 (09시35분, 11시35분, 13시35분, 15시35분)",,없음,가능,"입 장 료:해당 없음(왕복표값 한림항에서 미리 지급 9,000원)		

이용가능시설:선착장		

화장실:있음

"
11,나홀로나무,"제주도 제주시 한림읍 금악리 산 30-8
			",33.3509523839,126.3492166424,"제주에는 유명한 나홀로나무가 두 그루가 있는데, 하나는 항몽유적지 나홀로나무, 그리고 새별오름 나홀로나무가 그것이다. 제주 새별오름 나홀로나무의 경우, 제주도 오름 2개를 배경으로 서있는 모습이 아름다워 많은 사람이 찾는 곳이다. 제주 새별오름의 나홀로나무가 있는 금악리는 한라산 서남쪽 해안과 산록 지대 사이에 있는 광활한 평야 지대로, 그 가운데 서 있는 나무와의 조화가 미묘한 분위기를 풍기는 매력이 있다. 스냅사진을 찍기 위해 찾는 이들이 많다.",064-740-6000,없음,,없음,없음,가능,"입 장 료:없음		

이용가능시설:새별오름		

화장실:없음

주차요금:없음

"
12,제지기오름,제주특별자치도 서귀포시 보목동275-1 (일대),33.241993534,126.609568724,"조면암질 화산암과 일부 화산쇄설성 퇴적층으로 구성되어 전체적인 모양은 용암원정구의 형태를 띠고 있으며 남사면은 매우 가팔라서 곳곳이 벼랑져 있다. 숲이 덮힌 외관으로는 나타나지 않지만 안에 들면 곳곳에 바위가 서 있고 커다란 바위등이 드러나 있다.
정상부는 나무가 없고 환상탈모 대머리처럼 둥그렇게 벗어졌고 억새며 잡풀이 무성하다. 북사면은 급준하게 솟아 오른 남사면과 달리 비교적 완만한 등성이가 두 가닥으로 뻗어 내리고 그 가랑이진 곳이 각각 서향·북향·북동향으로 야트막히 우묵져 있다. 화구로 보일 만큼의 뚜렷한 형태는 아니다.
남사면 중턱의 바위굴은 꽤 커서 입구 쪽이 6-7미터, 깊이 5-6미터의 넓이에 천장 높이 최고 6미터 가량이며, 밑으로는 가파르게 비탈져 풀과 나무가 우거지고 양옆으로도 벼랑바위가 우뚝우뚝하다. 옛날 절이 있었던 데서 절오름, 일명 제지기오름 또는 제제기오름이라고도 한다. 제지기(제제기)가 무슨 뜻인지는 분명치 않으나, 절(窟寺)이 있고 이를 지키는 절지기가 살고 있었으므로 절지기오름이라 불리던 것이 차차 제지기오름·제제기오름으로 와전된 것이라고 풀이돼 있다. 어떻든 절이 있었던데 연유한 절오름이라는 호칭만은 분명하며, 여러 문헌에 절오름(寺岳)으로 명기돼 있으며 현지 주민들 사이에도 그리 알려져 있다. 
그 절은 바다에 면한 남사면 중턱의 궤(바위 굴) 안에 있었다고 한다. 절 이름이 무엇이었는지, 어느 시기였는지는 알려져 있지 않으며 흔적도 찾아볼 수 없다. 다만 굴사(窟寺)라는 옛 호칭이 남아있을 뿐이다. 건물이 있는 것도 아닌, 간소한 굴암(窟庵) 이었으리라 짐작되며, 제즈기오름, 제지기오름, 제좌기오름, 저저기오름, 제지기오름 현지인들은 이 오름에 과거 절(寺)이 있었고, 절을 지키는 `절지기/저지기`가 있었다는 데서 `저지기오름, 제지기오름` 또는 `절오름`이라 한다고 하나, 신빙성이 없어 보인다. 음성형도 확실하지 않고 뜻 또한 확실하지 않으며, 음성형은 물론 그 뜻에 대해서도 좀더 논의해야 한다고 한다. 동녘 오름자락 당팟이라는 불리는 곳은 옛날 당(堂)이 있었던 데 연유하는 지명인데 그 당은 오래 전에 북서쪽 정술냇가 `조노궤`라는 큼직한 바위굴로 옮겨졌습니다. 보목마을 수호신을 모신 `조노궤당`이다.
마을 중심부를 흐르는 정술내(甫木川)는 멀리 솔오름(미악산)에서 발원, 남동으로 흐르면서 상효천과 합류, 절오름 서록에 이르러 보목마을을 동서로 가르며 바다로 들어간다.
앞 바다에 작은 화산도 섶섬이 절오름과 1km의 사이를 두고 마주보고 있다. 섶섬은 특히 천연기념물로 지정 보호되고 있는 파초일엽의 자생지며, 우리나라에서는 이곳에서만 자라는 그 분포의 북방한계가 된다.
(표고 : 94.8m 비고 : 85m 둘레 : 1,012m 면적 : 77,023㎡ 저경 : 342m)",제주관광정보센터 064-740-6000,,,,없음,없음,
13,월정사(제주),제주특별자치도 제주시 아연로 216-5(오라이동),33.4667615657,126.5100972799,"제주 오라동에 있는 사찰로 대한불교 조계종 제23교구 본사인 관음사(觀音寺)의 말사로 1934년에 창건하였으며, 2001년 10월 25일에는 전통 사찰로 지정되었다.<br>",064-742-7755,연중무휴,,주차 가능,불가,불가,"화장실:있음
외국어 안내서비스:불가
"
14,서귀포 가시리마을 (녹산로 유채꽃도로),"제주특별자치도 서귀포시 표선면 가시로565번길 20
			",33.3532755098,126.771635499,"서귀포 가시리마을은 해마다 4월이면 진입로부터 10km구간에 펼쳐지는 유채꽃과 벚꽃이 어우러져 그림같은 드라이브 코스를 자랑하는 곳이다. ‘한국의 아름다운 길 100선’ 에 선정되기도 한 가시리 녹산로는 조선시대 최고의 목마장이던 녹산장과 갑마장을 관통하는 길로 현재 제주에서도 손꼽히는 경관을 자랑하는 유채꽃길로 가시리 마을 10경 중 제1경으로 꼽히는 곳이다. 또한 가시리 마을은 따라비 오름, 큰사슴이 오름 등 제주의 아름다운 자연경관도 함께 즐길 수 있다.<br>",064-787-1305,,,,없음,없음,"관광코스안내:* 먹거리 : 유채 비빔밥, 유채 우동, 유채 튀김<br />
* 인근볼거리 : 조랑말체험공원, 정석항공관, 성읍민속마을

"
15,천제연폭포,제주특별자치도 서귀포시 천제연로 132(중문동),33.2526559999,126.4184294967,"천제연폭포는 옥황상제를 모시는 칠선녀가 별빛 속삭이는 한밤중이면 영롱한 자주빛 구름다리를 타고 옥피리 불며 내려와 맑은 물에 미역감고 노닐다 올라간다고 하여 천제연(天帝淵) 곧 하느님의 못이라고 부르게 되었다는 유래가 있다. 울창한 난대림지대 사이로 3단 폭포가 떨어지는 모습은 실로 장관인데 제1폭포에서 떨어져 수심 21m의 못을 이루고, 이 물은 다시 제2폭포, 제3폭포를 거쳐 바다로 흘러 들어간다. 특히 제1폭포가 떨어지는 절벽 동쪽의 암석동굴 천정에서는 이가 시리도록 차가운 물이 쏟아져 내리는데 예로부터 백중, 처서에 이 물을 맞으면 모든 병이 사라진다고하여 많은  사람들이 찾았으나 지금은 수영이 금지돼 있다. 천제연계곡에는 아름다운 일곱 선녀상을 조각한 '선임교'라는 아치형 다리와 '천제루'라고 불리우는 누각이 세워져 있어 주변경관을 한층 더 돋보이게 한다.<br /><br />천제연 주변의 난대림 안에는 제주도에서도 가장 희귀한 식물의 일종인 솔잎난이 자생하며 담팔수, 구실잣밤나무, 조록나무, 참식나무, 가시나무류, 빗죽이나무, 감탕나무 등의 상록수와 푸조나무, 팽나무 등이 혼효림을 이루고 있다. 덩굴식물로는 바람등칡, 마삭풀, 남오미자, 왕모람 등이 많이 자라고 관목류로는 자금우돈나무 백량금, 양치식물로는 석위, 세뿔석위, 일엽, 바위손 등이 울창하게  어우러져 잘 보존되고 있다. 제1폭포 서쪽 암벽에 있는 담팔수는 식물 지리학적 측면에서 학술가치가 높아 지방 기념물로 별도 지정돼 있는데, 한라산 천연보호구역의 하나로 지정 보호되고 있는  천제연계곡에는 20여 그루의 담팔수가 자생하고 있다.<br /><br />* 선임교 <br /><br />국내 최초로 민족 고유의 오작교 형태로 꾸민 선임교 양쪽 옆면에는 칠선녀의 전설을 소재로 조각한 아름다운 칠선녀상이 있으며, 야간에는 100개 난간 사이에 34개의 석등에 불을 밝혀 칠선녀의 다리를 거니는 이들에게 색다른 분위기를 안겨준다.<br>",064-760-6331,,09:00 ~ 18:00,있음,불가,없음,"입 장 료:개인 - 일반 2,500원 / 청소년, 군인, 어린이 1,350원<br />
단체 - 일반 2,050원 / 청소년, 군인, 어린이 850원<br />
<br />
※ 무료 : 6세 이하 어린이, 65세 이상, 장애인(1~3급인 경우 보호자 1인 포함)<br />
국가유공자·독립유공자·5.18 민주유공자 및 그 배우자(증서 소지자), 참전유공자·제주도민·명예도민증 소지자 및 그 직계 존·비속<br />
※ 단체 10인 이상, 어린이(7~12세), 청소년(13~24세), 군인(하사 이하)
화장실:있음
"
16,협재포구,"제주특별자치도 제주시 한림읍 협재리
			",33.3822279176,126.2498106961,"협재 포구는 제주 올레 14코스에 속해있으며, 에메랄드빛 바다가 펼쳐진 아름다운 포구다. 포구 옆 해수욕장은 넓은 모래사장과 잘 갖춰진 편의 시설, 소나무 숲속 야영장이 있어 여름철이면 많은 관광객이 몰린다. 바다 쪽으로 길게 나 있는 방파제는 좋은 낚시 포인트로 낚시꾼들은 물론 주변에 숙박하는 이들이 체험 낚시를 즐기기도 한다. 작은 등대가 있는 방파제 끝으로 가면 건너편 비양도를 볼 수 있어 풍광아 더 아름답다. 사계절 해양 레저 프로그램을 이용할 수 있어 온몸으로 제주를 느낄 수 있는 관광 명소다.",064-740-6000,연중무휴,상시 개방,불가 (협재해수욕장 주차장 이용),없음,가능,"이용가능시설:협재 해수욕장
이용가능시설:소나무숲 야영장, 비양도
화장실:가능 (협재해수욕장 공중화장실)
"
17,제주공룡랜드,"제주특별자치도 제주시 애월읍 광령평화2길 1
			",33.4428046493,126.4323712429,"제주도 문화유산 1주년에 발맞춰 한·중·일 합작으로 공룡을 테마로한 가족공원인 “제주공룡랜드”를 2007년 8월 14일에 개장하게 되었다. 중국과학원 고척추생물 및 고인류연구소 (IVPP)의 철저한 고증과 일본 DM사의 기술을 바탕으로 현재까지 발견된 공룡 가운데 가장 큰 공룡인 높이 28m의 브라키오사우루스, 육식공룡 티라노사우루스, 사납기로 유명한 벨로시랩터, 3개의 뿔이 달린 초식공룡 트리케라톱스 등 200여 마리의 다양한 작동과 고정 공룡들이 전시되어 있다. 공원 내부에는 공룡들이 알을 낳고 부화하는 과정 등이 첨단 컴퓨터그래픽으로 재현되고 성대 복원으로 공룡의 생생한 소리도 들을 수 있는 공룡동굴생태 체험관과 과거 공룡들이 살던 시대로의 여행을 테마로한 3D 입체영화관, 기초과학의 발판인 지구 46억 년 전 희귀화석, 신생대, 중생대, 고생대의 진품화석광물, 운석, 공룡 골격화석들이 자연사 박물관에 일목 요연하게 전시되어 있다.",제주공룡랜드 064-746-3060,연중무휴,"- 일반 (4월1일 ~ 10월31일) : 09:30 ~ 18:30<br />
- 동절기 (11월1일 ~ 03월31일) : 09:30 ~ 18:00<br />
※ 365일 연중무휴 / 매표 가능시간은 마감 1시간전",있음(버스 30대 / 승용차 120대),가능,불가,"관 람 료:개인 - 대인 9,000원 / 청소년(중,고등학생)  7,000원 / 소인(36개월~초등학생)  6,000원<br>
단체 - 대인 7,000원 / 청소년(중,고등학생) 5,000원 / 소인(36개월~초등학생)  5,000원<br>
장애인/경로/국가유공자 - 대인 6,000원 / 청소년, 소인 4,000원<br>
※ 만 3세 (36개월) 이하는 무료<br>
※ 단체 20인 이상
이용가능시설:잔디광장, 자연사박물관, 애니메이션 주제관, 해양박물관, 평화의 광장, 허브하우스, 앵무새사파리, 토이랜드, 손 페달 보트, 3D입체상영관, 미로공원, 조랑말 체험장, 산하도예
화장실:있음
주차요금:무료
"
18,평화통일 불사리탑,제주특별자치도 제주시 조천읍 일주동로 884(조천읍),33.5319646966,126.6362431688,평화통일 불사리탑은 반구형으로 건립한 불교사원으로 1988년 음력 10월 10일 10시에 기공식을 가진 이후 10년 불사를 거쳐 1998년 8월 15일 완공되었다. 평화통일이라는 이름이 의미하듯이 남과 북으로 양분되어 있는 안타까운 우리의 현실을 부처님의 위신력과 불자들의 절실한 기도를 통하여 통일과 평화로 이어지게 하고자 하는 깊은 염원을 담고 있는 바 탑을 민족의 성산 백두의 천지에 정방향으로 맞추어 건축하였다.<br>,064-740-6000,,,,없음,없음,
19,한라산 영실,제주특별자치도 서귀포시 영실로 246(하원동),33.3402306397,126.4803110551,"제주 한라산은 자연휴식년제를 실시 중인 돈내코 코스를 제외한 다섯 개의 탐방코스가 있다. 관음사, 어리목, 영실, 성판악을 기점으로 하는 코스와 어리목 부근의 기생화산인 어승생악 코스가 있다. 한라산 최고의 가을 단풍코스로는 단연 영실코스를 들 수 있다. 한라산 서측 99번 국도를 따라가면 어리목 입구를 지나 1100고지 휴게소를 넘어서 약 4km쯤 내려가면 영실입구 삼거리에 도착한다. 삼거리에서 매표소까지는 약 3km 거리. 매표소에서 영실휴게소까지는 다시 30~40분 정도 걸어 올라가야 한다. 영실 탐방코스(영실∼윗세오름)는 3.7km로 대략 1시간 40분 정도 소요된다. 영실휴게소를 출발하여 1km 남짓 비교적 완만한 길로 힘들이지 않고, 주변 수목과 영실 계곡 단풍을 즐기며 쉬엄쉬엄 오를 수 있다.<br />본격적으로 들쭉날쭉한 기암괴석이 시야에 들어오기 시작하는 오르막길로 접어들면 가파른 산길이 능선을 따라 이어진다. 등산로 아래로 깊게 팬 영실 계곡과 주변을 둘러친 웅장한 거벽은 아마도 이곳이 과거의 거대한 화산분출구가 아니었나 짐작케 한다. 병풍바위를 지나면서부터는 다시금 평탄한 산길이 나타나고 휘파람을 불며 거닐만큼 편안한 등산로가 윗세오름휴게소까지 이어진다. 한라산 영실의 첫번째 매력은 영주십경(瀛州十景)의 하나인 영실기암을 들수 있다. 해발 1,400∼1,600m 지점의 거대한 계곡 우측에 천태만상의 기암 괴석들이 즐비하게 하늘을 찌를 듯 솟아 있다. 옛부터 '오백나한', 또는 '오백장군' 이라 불리우기도 하는 영실기암은 깊어가는 한라산 단풍을 배경으로 가을 한라산의 진수를 펼쳐보인다.<br />병풍 바위에서 불어오는 산바람에 잠시 숨을 돌리고 땀을 식힌 다음, 내친 걸음에 윗세오름까지, 마치 광활한 활주로에 멀리 떡하니 버티고 있는 듯한 한라산 화구벽은 영실 가을산행의 또 다른 매력으로 다가온다. 여유가 있다면 윗세오름에서 북쪽 하산길로 접어 들어 봄철 철쭉으로 유명한 만세동산, 사제비 동산을 지나 약수 한모금 들이키고 이어지는 어리목으로의 하산을(1시간 40분소요) 권할 수 있다. 모름지기 국토 최남단의 영산 한라산의 더할나위 없는 가을단풍 산행의 진수라 할 수 있다.<br>","한라산국립공원 관리소 064-713-9950~1<br /> 
영실지소 064-747-9950",연중개방,"[입산]<br/>
- 동절기(11월~2월) 06:00~12:00<br/>
- 춘추절기(3월~4월/9월~10월) 05:30~14:00<br/>
- 하절기(5월~8월) 05:00~15:00<br/>
[하산]<br/>
- 윗세오름 : 동절기 15:00/춘추절기 16:00/하절기 17:00<br/>
- 동능정상 : 동절기 13:30/춘추절기 14:00/하절기 14:30<br/>
- 남벽분기점 : 동절기 14:00/춘추절기 14:30/하절기 15:00<br/>
※ 통제장소 : 탐방로 통제소",주차가능,불가,불가,"이용가능시설:탐방안내소, 산악박물관, 매점 등
화장실:있음
입 장 료:무료
"
21,쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128(하효동),33.2521787368,126.6231006558,"제주도 서귀포시 하효동에 있는 쇠소깍은 원래는 소가 누워있는 형태라 하여 쇠둔이라는 지명이었는데, 효돈천을 흐르는 담수와 해수가 만나 깊은 웅덩이를 만들고 있어 ‘쇠소깍’이라고 붙여졌다. 쇠는 소, 소는 웅덩이, 깍은 끝이라는 의미를 담고 있다. 쇠소는 용암이 흘러내리면서 굳어져 형성된 계곡 같은 골짜기로 이름 만큼이나 재미나고 독특한 지형을 만들고 있다. 쇠소깍은 서귀포칠십리에 숨은 비경 중 하나로 깊은 수심과 용암으로 이루어진 기암괴석과 소나무숲이 조화를 이루면서 아름다운 풍광을 연출한다. <br /> 쇠소깍이 위치한 하효동은 한라산 남쪽 앞자락에 자리 잡고 있어 감귤의 주산지로 유명하여 마을 곳곳에 향긋한 감귤 냄새가 일품이다. 주변에는 주상절리대와 중문해수욕장, 천제연 폭포 등 유명한 관광지가 많아 함께 둘러보기에 좋다.<br>",쇠소깍 관광안내소 064-732-1562,,체험시간 외 방문시간은 제한없음 <br />,있음,불가,없음,"입 장 료:무료
화장실:있음
주차요금:무료
"
22,성산포성당,"제주특별자치도 서귀포시 성산읍 고성오조로 120
			",33.4539916768,126.9136569988,"성산포 성당은 1955년 공소가 설립되어 1973년 본당으로 승격된 성당이다. 이 성당은 멀리 보이는 성산 일출봉과 바다가 어우러져  우리나라에 있는 성당 중에서 가장 경치가 뛰어나다는 찬사를 받는 곳이다. 건물 외관도 독특한데, 현대식 기와지붕이 한쪽만 절개되어 가운데에 얹힌 모양을 가지고 있다. 성당 입구에서 먼저 눈에 보이는 둥근 창 모양으로 뚫린 원통 형태의 종탑 역시 특이하다. 뚫려있는 종탑 안쪽은 제주 바다를 연상하게 하는 푸른색 타일로 장식돼 있다. 올레 2코스와 가까워 여행객들이 잠시 쉬며 둘러보기 좋은 장소다.",064-782-0500,연중무휴,상시개방,주차가능,없음,없음,"이용가능시설:산책길
"
23,서귀포자연휴양림,"제주특별자치도 서귀포시 1100로 882
			",33.3108197268,126.4630826543,"산에 돌이 많기 때문에 물은 산에서 쉽게 흘러내려 땅밑으로 스며든다. 이 물이 땅끝에 닿아 솟아 오르고 이를 식수로 쓰기 위해 사람들은 근처에 촌락을 이룬다. 이렇게 형성된 집성촌이 바로 제주의 용수촌이다. 제주도의 촌락은 모두 땅끝 바닷가에 위치했기 때문에 산자락에서 마을을 이루는 경우는 거의 없었고 인적도 드물었다. 사람의 왕래가 적었기 때문에 그 황폐화 정도가 적은 제주도의 산은 그 산세와 수목, 야생동물 등이 그대로 보존되어 있는 것으로 유명하다.서귀포자연휴양림은 인공조림의 요소를 가능한 한 줄이고 제주도 산과 숲 그대로의 특징을 살려 쾌적한 휴양과 산림욕을 즐길 수 있는 우리나라 최남단의 자연 휴양림이다.<br /><br />해발고도 700m에 위치한 휴양림 내의 온도는 서귀포시내와 10°C 정도의 차이가 나는데 이로 인해 특히, 봄부터 가을까지 가족, 친구들과 함께 질 좋은 삼림욕과 산책, 캠핑을 마음껏 즐길  수 있는 곳이다.서귀포 시내에서 자연휴양림까지는 자동차를 타고 30분 정도가 소요된다. 산아래에 도착한 후 휴양림까지 잘 닦여진 도로를 따라 오르다 보면 우리나라 다른 곳에서는 볼 수 없는 여러가지 이국적인 수종들을 맘껏 구경할 수 있다.  또 도로가 굽어지는 곳곳마다 차를 세워 발 밑에 펼쳐지는 아름다운 서귀포시가지와 바다 풍경을 내려다보는 재미도 맛볼 수 있다.<br /><br />휴양림 안으로 들어서면 사방이 온통 푸른 나무들로 가득하여 녹음이 짙다.  길 하나가 숲을 둥글게 돌아가며 나 있다. 신을 벗고 맨발로 길을 따라 걷다보면 향긋하고 시원한 내음이 코 끝에 가득하다. 이 내음은 피톤치드라는 향기로 식물이 살균, 살충작용을 위해 내뿜는 것이고 사람이 이를 마시거나 피부에 접촉하면 심신이 맑아지고 건강에 좋다고 한다. 숲의 곳곳에는 산막, 산림욕장, 캠프파이어장, 취사장, 오토캠프장 등의 시설물이 조성되어 있다. 자연을 해치지 않기 위해 모든 시설물은 간편화했으며 시설의 전력은 자연광으로 처리한 세심함이 돋보인다.<br /><br />이 밖에 숲 한가운데 작은 계곡에는 큰 담이 있어 물이 가득 넘친다. 이곳은 아이들의 물놀이터로 이용된다. 천연림인 이 곳은 각종 야생동식물의 서식지이기도 하다. 숲길을 걷다 보면 종종 노루, 다람쥐 등과 마주치기도 하고 크낙새 소리를 들을 수 있으며 각종 희귀화종(花種)들이 가득하다. 숲을 돌아 전망대에 오르면 하늘에서 내려보듯 올망졸망 서귀포시 가지와 탁 트인 태평양 푸른 바다가 한눈에 들어온다.<br>",064-738-4544,연중무휴,"[일일개장] 당일 09:00~18:00 (입장시간은 17:00까지)<br>
[숙박시설] 당일 15:00~익일 12:00<br>
[야영시설] 당일 13:00~익일 12:00<br>",있음,없음,불가,"입 장 료:개인 - 일반 1,000원 / 청소년, 군인 600원 / 어린이 300원<br>
단체 - 일반 800원 / 청소년, 군인 500원 / 어린이 200원 <br>
※ 무료 - 다자녀 가정 (증빙서류 지참)<br> ※ 단체 20인 이상
주차요금:경형 1,000원 / 중소형 2,000원 / 대형 3,000원
시설이용료:[숲속의집] 비수기 및 주중 52,000~145,000원 / 성수기 및 주말 94,000~214,000원<br>
[산림휴양관] 비수기 및 주중 39,000~85,000원 / 성수기 및 주말 68,000~144,000원<br>
※ 입장료, 주차료 면제<br>
[단체객실] 비수기 및 주중 228,000원 / 성수기 및 주말 274,000원<br>
※ 이용요금 감면 제외, 입장료 및 주차료 면제<br>
[야영데크] 9,500~15,500원<br>
[세미나실(숲속수련장)] 4시간 이내 50,000원 / 4시간 초과 100,000원<br>
※ 장애인, 지역주민, 다자녀 가정, 국가보훈대상자 우대 할인(할인율 홈페이지 참조)
이용가능시설:숲속의집, 산림휴양관, 단체객실, 야영데크, 세미나실
내국인 예약안내:인터넷 예약
"
24,휴림,"제주특별자치도 제주시 애월읍 광령남서길 40
			",33.4438100372,126.4287993085,"숲속쉼터 휴림은 제주시 산림조합이 조성하여 2017년 개장한 에코힐링파크로 남녀노소 온가족이 함께 즐길 수 있는 숲속 체험을 제공한다.양묘체험, 임산물 생산체험, 숲속캠핑/ 글램핑/ 카라반 등을 체험할 수 있으며, 유치원 등의 단체가 이용할 수 있는 유아숲속 놀이터를 운영하고 있다.산림부산물인 편백 톱밥을 활용한 톱밥효소 찜질 체험장도 있어 숲이 주는 자연치유력과 힐링을 느끼는 느긋함도 가져볼 수 있다. 그 밖에 꽃말을 이용한 식물을 식재해서 기념품을 가져갈수 있는 story tree체험, 기념식수를 식재하여 1년 후 가져가거나 지역 사회에 기증할수 있는 meet tree 체험, 목공을 이용해 생활소품을 만드는 DIY체험도 진행하고 있다. 자세한 체험 내용 및 캠핑예약은 휴림 홈페이지에서 가능하다.",064-799-4883,매주 화요일,09:00~18:00,,없음,없음,
25,산지 등대,제주특별자치도 제주시 사라봉동길 108-1(건입동),33.5209144715,126.5456624039,"행정구역상 제주시 건입동에 속하는데도 이 곳을 왜 “산지등대”로 부르게 되었는지에 대해 많은 사람들이 궁금해 한다. 산지란 명칭은 1702년(조선 숙종 28년) 제주목사 이형상이 순력중 화공 김남길로 하여금 제작토록 한 「탐라순력도」에 의하면 산지촌(山 地村)으로 기록되어있다. 그 밖의 문헌 「제주도 통권 42호 1969년」에 의하면 처음에는 산저(山低)였던 것이 나중에 산지(山地)로 되었다 한다. 즉 한라산에서 발원한 “산지천” 상류의 가락쿳물(오현단 동쪽)이 건입포를 지나 바다로 흘러들었기 때문에 산저(山底)라고 하였던 것이 “산지”로 바뀌게 되었다는 설과 한라산 줄기인 사라봉이 북으로 뻗어 내려오다
 해안가에 이르러 다시 높이 솟아올라 “산지”라고 불렀다는 이야기가 전해 오는데 이곳의 옛 지명을 따서 산지등대라고 부르게 되었다.
제주시민의 대표적 공원인 사라봉 중턱 언덕 위에 탐라의 관문인 제주항을 한눈에 조망할 수 있는 하얀 건물 하나가 사람들의 눈길을 끈다. 해안 절벽과 바다가 어우러져 한 폭의 수채화를 연상케 하는 아름다운 해안선의 모습을 한 눈에 감상할 수 있는 곳! 그 곳에 “산지등대”가 있다.
1916년 10월 무인등대로 처음 점등된 산지등대는 1917년 3월에 유인등대로 변경되었고, 1999년 12월에 현재의 모습으로 새롭게 등탑을 신설하였고 기존 등대는 83년간 밝혀오던 희망의 빛을 동생에게 물려주고 옆에서 묵묵히 지켜주는 형님 역할을 수행하고 있다. 산지등대의 등탑은 백색 원형콘크리트 구조로 높이는 18m이다. 2002년 12월에 순수 국내 기술로 개발한 고광력 회전식 대형등명기로 교체되었고 불빛은 15초에 1번씩 반짝이며 그 빛은 48㎞ 떨어진 곳까지 도달한다. 산지등대 주변은 넓은 바다와 사라봉이 펼쳐진 주변광경이 뛰어나고 도심지와 가까운 위치에 있어 유치원생부터 고등학생까지 등대 탐방을 겸한 체험 학습장으로 각광을 받고 있으며 등대 역할 뿐만 아니라 관광 자원으로서도 제 몫을 톡톡히 하고 있다. 태양이 지쳐 바닷속으로 빠져들어 붉은 빛이 채워질 때 쯤 생활터전으로 향하는 어선들을 반기는 파도의 하얀 포말이 노을을 벗 삼아 만들어내는 옥빛의 향연이 등대 앞쪽 바다에 펼쳐지고 등대의 불빛이 어둠을 향해 길을 만들기 시작할 때부터 바다는 수백 척의 고기잡이배들이 수놓는 환상의 불꽃 잔치가 펼쳐진다.
* 최초점등일 - 1916년 10월
* 구조 - 백원형콘크리트조 (18m)
* 등질 - 섬 백광 15초1섬광 (FIW15s)
* 특징 - 제주도의 관문인 제주항 배후 사라봉 중턱에 설치된 등대로 제주 북부 연안을 항해하는 선박의 지표 역할을 하고 있으며, 체험숙소(산지원)가 있어 체험학습장으로 인기가 높아 년중 이용객이 끊이지 않고 있다.",064-720-2674,,,,없음,없음,
26,교래 삼다수마을,"제주 제주시 조천읍 교래리
			",33.436353702,126.676883488,"한라산 아래 첫마을 제주시 조천읍 12개마을 중 한라산쪽에 위치한 중산간 마을로 흔히 도리라 불리우며 목가적인 전원풍경으로 가족단위 관광객이 많이 찾고있고 국가지정 천연기념물 산굼부리로 유명하다. 교래리는 약 700여년 전 화전민이  산거해 살면서 설촌했을 것으로 추정되며 한라산으로부터 흐르는 크고 작은 하천이 많아 다리를 건너 마을간을 왕래했기 때문에  도리라 불렀다는 설과 함께 마을에서 서쪽으로 약 800m의 암반빌레가  길게 뻗어  다리모양의 형체를 이뤄 도리라 했다는 설이 있다. 목장지대와 오름 등 넓은 임야지대가 펼쳐져 있고 울창한 수림과 계곡, 오름 등의  경관이 수려하며 거주지와 근접한 유휴농지를 이용한 체험 프로그램 등 제주지역을 특화할 수 있는 영농 체험공간을 조성하고 있다.",064-784-1746,"설,추석(연휴포함)",,,없음,불가,"이용가능시설:숙박시설, 전통체험시설, 농기구전시장, 쉼터
화장실:있음
내국인 예약안내:전화 예약
"
